Season,Make,Entries,Wins,Top5,Top10,Avg_Finish,Win_Rate_Per_entry
1969,Dodge,306,22,96,146,15.212418300653594,7.18954248366013
1973,Dodge,265,8,41,68,19.954716981132076,3.018867924528302
1959,Ford,403,16,78,155,16.042183622828784,3.970223325062035
1975,Chevrolet,582,6,68,173,18.61340206185567,1.0309278350515463
1961,Plymouth,114,3,25,45,14.149122807017545,2.631578947368421
1975,Ford,174,4,20,48,18.339080459770116,2.2988505747126435
2020,Ford,545,18,72,156,18.563302752293577,3.302752293577982
2023,Ford,508,8,51,120,19.62007874015748,1.574803149606299
1976,Chevrolet,704,13,70,177,18.990056818181817,1.8465909090909092
1951,Mercury,54,2,9,17,16.09259259259259,3.7037037037037033
1970,Mercury,74,4,14,29,16.12162162162162,5.405405405405405
1982,Ford,141,2,21,39,18.72340425531915,1.4184397163120568
2018,Chevrolet,654,4,37,104,22.279816513761467,0.6116207951070336
1955,Packard Motor Car Company,6,0,0,2,20.166666666666668,0.0
1957,-,2,0,1,2,5.5,0.0
1980,Dodge,57,0,0,7,20.526315789473685,0.0
1997,Chevrolet,462,11,51,101,22.645021645021647,2.380952380952381
2018,Ford,486,19,79,163,17.54732510288066,3.909465020576132
1990,Chevrolet,265,13,44,83,17.91320754716981,4.905660377358491
1954,Kaiser,7,0,0,0,23.285714285714285,0.0
1960,Morris Garage,2,0,0,0,16.5,0.0
1959,Mercury,33,0,3,9,17.21212121212121,0.0
2017,Ford,469,10,64,130,18.923240938166312,2.1321961620469083
1960,Chevrolet,408,13,90,174,15.284313725490197,3.1862745098039214
1970,Chevrolet,165,0,2,24,21.0,0.0
1958,Studebaker,8,0,0,1,21.25,0.0
1977,Matador,33,0,5,15,18.09090909090909,0.0
2016,Chevrolet,763,12,81,183,20.466579292267365,1.5727391874180863
1954,Buick,11,0,1,3,21.09090909090909,0.0
1955,Pontiac,4,0,0,0,32.75,0.0
1950,Cadillac,12,0,1,5,16.083333333333332,0.0
1951,Cadillac,7,0,1,2,22.285714285714285,0.0
1953,Ford,106,0,0,11,19.367924528301888,0.0
1957,Buick,2,0,0,0,25.0,0.0
1964,Chevrolet,211,1,5,53,17.62559241706161,0.47393364928909953
1974,Mercury,22,7,15,16,8.318181818181818,31.818181818181817
1977,Plymouth,2,0,0,0,28.0,0.0
1983,Oldsmobile,20,0,0,1,23.95,0.0
1954,Pontiac,2,0,0,0,16.5,0.0
