Season,Make,Entries,Wins,Top5,Top10,Avg_Finish,Win_Rate_Per_entry
1993,Ford,628,10,51,134,20.988853503184714,1.5923566878980893
2019,Chevrolet,620,7,45,110,21.901612903225807,1.129032258064516
1966,Dodge,197,18,60,100,14.309644670050762,9.137055837563452
1999,Pontiac,266,9,44,89,20.3796992481203,3.3834586466165413
1950,Packard Motor Car Company,3,0,0,0,20.333333333333332,0.0
1951,Chevrolet,6,0,0,1,20.5,0.0
1956,Pontiac,61,0,5,16,19.688524590163933,0.0
1967,Oldsmobile,38,0,1,7,16.63157894736842,0.0
2010,Toyota,458,12,41,81,25.572052401746724,2.6200873362445414
1956,Ford,420,14,85,162,16.17142857142857,3.3333333333333335
1956,Plymouth,78,0,3,14,19.756410256410255,0.0
2002,Dodge,388,7,22,51,24.3479381443299,1.804123711340206
1964,Mercury,185,5,28,74,15.259459459459459,2.7027027027027026
1998,Pontiac,216,2,15,47,22.180555555555557,0.9259259259259258
1965,Dodge,150,2,26,47,16.433333333333334,1.3333333333333335
1974,Dodge,250,10,31,56,20.512,4.0
1979,Chevrolet,587,18,95,185,17.45655877342419,3.0664395229982966
1985,Dodge,3,0,0,0,21.0,0.0
1953,Kaiser,5,0,0,1,16.2,0.0
1954,Packard Motor Car Company,7,0,0,0,28.428571428571427,0.0
1970,Ford,602,6,65,156,18.308970099667775,0.9966777408637874
1979,Oldsmobile,192,5,29,46,19.942708333333332,2.604166666666667
1991,Buick,110,0,5,13,23.145454545454545,0.0
2021,Ford,529,7,51,121,20.0586011342155,1.3232514177693762
1978,Ford,107,5,18,36,17.05607476635514,4.672897196261682
2013,Ford,505,6,37,86,23.677227722772276,1.188118811881188
1959,Buick,5,0,1,1,29.4,0.0
1962,Chevrolet,339,14,54,131,14.672566371681416,4.129793510324483
1972,Ford,339,0,22,78,20.70501474926254,0.0
1987,Chevrolet,410,15,54,102,20.58048780487805,3.6585365853658534
2013,Chevrolet,629,16,89,177,19.845786963434023,2.5437201907790143
2014,Chevrolet,800,20,94,193,20.89625,2.5
1957,Dodge,44,0,1,8,17.818181818181817,0.0
1968,Plymouth,181,16,47,78,15.209944751381215,8.83977900552486
1983,Dodge,15,0,0,2,18.533333333333335,0.0
1951,-,129,0,0,19,21.674418604651162,0.0
