Season,Track,Track_Type,Total_Entries,Races_At_Track,Avg_Laps,Min_Laps,Max_Laps,Lead_Lap_Finishers,Different_Winners
2008,Talladega Superspeedway,superspeedway,86,2,170.4418604651163,4.0,190.0,45,2
1959,Occoneechee Speedway,intermediate,44,2,81.0909090909091,2.0,110.0,3,2
1970,Kingsport Speedway,short,22,1,172.77272727272728,5.0,297.0,1,1
2001,Sonoma Raceway,road course,43,1,104.48837209302326,2.0,112.0,29,1
2007,Chicagoland Speedway,intermediate,43,1,249.25581395348837,43.0,267.0,19,1
1981,Rockingham Speedway,intermediate,74,2,350.02702702702703,19.0,492.0,9,1
1979,Nashville Speedway,intermediate,58,2,289.3965517241379,2.0,420.0,3,2
1973,Atlanta Motor Speedway,intermediate,80,2,235.8625,3.0,328.0,2,1
2003,Darlington Raceway,intermediate,86,2,287.22093023255815,6.0,367.0,26,2
1996,New Hampshire Motor Speedway,intermediate,40,1,269.45,26.0,300.0,12,1
1960,Wilson Speedway,short,19,1,154.3684210526316,10.0,200.0,2,1
1978,Richmond Raceway,speedway,60,2,317.85,6.0,400.0,5,2
2000,New Hampshire Motor Speedway,intermediate,86,2,259.1279069767442,5.0,300.0,24,2
1983,Riverside International Raceway,road course,79,2,82.58227848101266,1.0,119.0,17,2
1990,Talladega Superspeedway,superspeedway,82,2,155.84146341463415,3.0,188.0,15,1
2002,Rockingham Speedway,intermediate,86,2,366.24418604651163,25.0,393.0,29,2
2013,Kentucky Speedway,intermediate,43,1,218.0,6.0,267.0,25,1
1969,Beltsville Speedway,short,46,2,187.3695652173913,3.0,300.0,3,2
1997,Sonoma Raceway,road course,44,1,67.45454545454545,10.0,74.0,26,1
2021,Charlotte Motor Speedway,intermediate,38,1,387.9736842105263,139.0,400.0,14,1
1998,Dover International Speedway,intermediate,86,2,347.77906976744185,2.0,400.0,13,2
1965,Smokey Mountain Raceway,short,24,1,111.45833333333333,1.0,200.0,1,1
1982,North Wilkesboro Speedway,intermediate,60,2,309.98333333333335,8.0,400.0,6,1
2007,Pocono Raceway,intermediate,86,2,149.48837209302326,55.0,200.0,65,2
1959,Wilson Speedway,short,49,2,147.22448979591837,6.0,200.0,4,1
1959,Richmond Raceway,short,22,1,130.1818181818182,1.0,200.0,3,1
2005,Bristol Motor Speedway,short,86,2,438.2325581395349,20.0,500.0,33,2
1974,Riverside International Raceway,road course,70,2,103.67142857142858,1.0,191.0,5,1
1951,Speedway Park,short,22,1,200.0,200.0,200.0,1,1
1982,Riverside International Raceway,road course,78,2,81.78205128205128,8.0,119.0,9,1
1986,Watkins Glen International,road course,36,1,75.5,2.0,90.0,13,1
1964,West Virginia International Speedway,short,31,1,329.7096774193548,30.0,500.0,1,1
2018,Texas Motor Speedway,intermediate,77,2,310.83116883116884,80.0,337.0,27,2
2019,Sonoma Raceway,road course,38,1,87.21052631578948,53.0,90.0,24,1
1960,Daytona International Speedway,intermediate,182,4,80.21978021978022,0.0,200.0,20,3
2016,Homestead-Miami Speedway,intermediate,40,1,263.1,213.0,268.0,16,1
1956,Hickory Speedway,short,77,3,161.8181818181818,9.0,250.0,10,2
2017,Las Vegas Motor Speedway,intermediate,39,1,250.12820512820514,16.0,267.0,22,1
2024,Circuit of the Americas,road course,39,1,67.41025641025641,51.0,68.0,34,1
1956,Memphis-Arkansas Speedway,intermediate,29,1,114.86206896551724,5.0,167.0,2,1
2011,Darlington Raceway,intermediate,43,1,307.8139534883721,7.0,370.0,18,1
2002,Kansas Speedway,intermediate,43,1,203.97674418604652,5.0,267.0,9,1
2004,Kansas Speedway,intermediate,43,1,223.1860465116279,3.0,267.0,23,1
1968,Trenton Speedway,intermediate,36,1,175.83333333333334,0.0,300.0,1,1
1958,Concord Speedway,short,30,1,156.56666666666666,19.0,200.0,3,1
2001,Homestead-Miami Speedway,intermediate,43,1,264.3720930232558,222.0,267.0,25,1
1980,Darlington Raceway,intermediate,77,2,220.5974025974026,0.0,367.0,8,2
2006,Chicagoland Speedway,intermediate,43,1,266.8837209302326,167.0,270.0,25,1
1951,North Wilkesboro Speedway,intermediate,64,2,99.42857142857143,3.0,200.0,2,1
1952,Charlotte Speedway,intermediate,24,1,102.95833333333333,3.0,150.0,2,1
1998,Michigan International Speedway,intermediate,86,2,186.77906976744185,7.0,200.0,19,2
