Season,Track,Track_Type,Total_Entries,Races_At_Track,Avg_Laps,Min_Laps,Max_Laps,Lead_Lap_Finishers,Different_Winners
1968,Oxford Plains Speedway,short,27,1,203.88888888888889,3.0,300.0,2,1
1961,Ascot Stadium,short,22,1,138.0909090909091,5.0,200.0,1,1
1982,Charlotte Motor Speedway,intermediate,82,2,268.390243902439,5.0,400.0,4,2
2012,Charlotte Motor Speedway,intermediate,86,2,305.06976744186045,15.0,400.0,15,2
1979,Talladega Superspeedway,superspeedway,81,2,115.30864197530865,0.0,188.0,3,2
2008,Phoenix Raceway,intermediate,86,2,292.1511627906977,27.0,313.0,28,1
2005,Michigan International Speedway,intermediate,86,2,190.8953488372093,50.0,200.0,47,2
1995,Richmond Raceway,intermediate,76,2,372.4342105263158,65.0,400.0,13,2
1957,Daytona Beach & Road Course,road course,57,1,36.333333333333336,31.0,39.0,2,1
1989,Pocono Raceway,intermediate,78,2,160.33333333333334,2.0,200.0,21,2
1973,Bristol Motor Speedway,short,60,2,359.0833333333333,34.0,500.0,2,2
1960,North Wilkesboro Speedway,intermediate,46,2,192.04347826086956,9.0,320.0,9,2
1964,Columbia Speedway,short,44,2,124.02272727272727,0.0,200.0,2,2
1956,Coastal Speedway,short,20,1,131.1,13.0,200.0,2,1
1961,Speedway Park,short,22,1,134.04545454545453,4.0,200.0,1,1
2011,Atlanta Motor Speedway,intermediate,43,1,273.6046511627907,2.0,325.0,20,1
1968,Rockingham Speedway,intermediate,88,2,300.0568181818182,2.0,500.0,3,2
1999,Richmond Raceway,intermediate,86,2,367.2325581395349,54.0,400.0,20,2
1950,North Wilkesboro Speedway,intermediate,26,1,100.0,0.0,200.0,1,1
1950,Dayton Speedway,short,53,2,98.75,0.0,200.0,2,2
1954,Central City Speedway,short,43,2,164.4418604651163,19.0,200.0,6,2
2011,Las Vegas Motor Speedway,intermediate,43,1,231.7674418604651,32.0,267.0,22,1
1969,Asheville-Weaverville Speedway,short,52,2,269.2307692307692,8.0,500.0,2,1
1964,Speedway Park,short,22,1,126.4090909090909,6.0,200.0,2,1
1961,Southside Speedway,short,19,1,122.36842105263158,1.0,150.0,1,1
2005,Las Vegas Motor Speedway,intermediate,43,1,227.32558139534885,11.0,267.0,20,1
1961,Starkey Speedway,short,20,1,130.65,27.0,150.0,1,1
1954,Piedmont Interstate Fairgrounds,short,21,1,151.04761904761904,6.0,200.0,1,1
2013,Auto Club Speedway,intermediate,43,1,182.51162790697674,44.0,200.0,24,1
1990,Sonoma Raceway,road course,44,1,64.56818181818181,2.0,74.0,21,1
2010,Phoenix Raceway,intermediate,86,2,318.95348837209303,1.0,378.0,46,2
1951,Occoneechee Speedway,intermediate,57,2,87.03333333333333,0.0,150.0,3,2
1996,Phoenix Raceway,intermediate,44,1,278.02272727272725,10.0,312.0,12,1
1983,Dover International Speedway,intermediate,72,2,358.5138888888889,39.0,500.0,5,1
2001,Indianapolis Motor Speedway,intermediate,43,1,146.1627906976744,1.0,160.0,23,1
1993,Atlanta Motor Speedway,intermediate,82,2,262.9024390243902,3.0,328.0,12,2
2002,Indianapolis Motor Speedway,intermediate,43,1,141.27906976744185,10.0,160.0,30,1
2018,Las Vegas Motor Speedway,intermediate,77,2,252.4025974025974,100.0,272.0,27,2
1960,Dixie Speedway,short,16,1,160.3125,2.0,200.0,1,1
2020,Las Vegas Motor Speedway,intermediate,77,2,257.24675324675326,19.0,268.0,49,2
2000,Daytona International Speedway,intermediate,86,2,171.48837209302326,68.0,200.0,55,2
2018,Pocono Raceway,intermediate,78,2,155.76923076923077,77.0,164.0,55,2
1951,Columbia Speedway,short,63,2,166.66666666666666,97.0,200.0,3,2
1989,Daytona International Speedway,intermediate,82,2,144.02439024390245,0.0,200.0,24,2
1971,Rockingham Speedway,intermediate,81,2,330.38271604938274,5.0,492.0,5,1
1964,Piedmont Interstate Fairgrounds,short,40,2,128.15,1.0,200.0,3,2
2018,Talladega Superspeedway,superspeedway,80,2,180.65,71.0,193.0,51,2
1981,Atlanta Motor Speedway,intermediate,82,2,235.4268292682927,1.0,328.0,11,2
1963,Old Bridge Stadium,short,20,1,153.45,16.0,200.0,2,1
1956,Daytona Beach & Road Course,road course,75,1,29.6,1.0,37.0,3,1
2015,Phoenix Raceway,intermediate,86,2,257.5348837209302,127.0,312.0,41,2
1961,Rambi Race Track,short,22,1,120.27272727272727,16.0,200.0,2,1
2008,Texas Motor Speedway,intermediate,86,2,325.19767441860466,124.0,339.0,22,1
1976,North Wilkesboro Speedway,intermediate,58,2,327.91379310344826,3.0,400.0,2,1
1967,Darlington Raceway,intermediate,80,2,190.2375,0.0,364.0,2,1
2009,Atlanta Motor Speedway,intermediate,86,2,287.24418604651163,19.0,330.0,33,2
2001,Las Vegas Motor Speedway,intermediate,43,1,240.11627906976744,8.0,267.0,15,1
2018,New Hampshire Motor Speedway,intermediate,37,1,282.0,13.0,301.0,19,1
1995,Atlanta Motor Speedway,intermediate,84,2,281.82142857142856,9.0,328.0,10,2
1997,Texas Motor Speedway,intermediate,43,1,259.5813953488372,0.0,334.0,8,1
2016,Indianapolis Motor Speedway,intermediate,40,1,157.25,4.0,170.0,19,1
1972,North Wilkesboro Speedway,intermediate,60,2,290.6666666666667,6.0,400.0,5,1
1993,North Wilkesboro Speedway,intermediate,68,2,371.5147058823529,25.0,400.0,13,1
1961,Columbia Speedway,short,43,2,148.46511627906978,5.0,200.0,4,1
1957,Langhorne Speedway,intermediate,76,2,163.75,0.0,300.0,3,2
2010,Las Vegas Motor Speedway,intermediate,43,1,242.11627906976744,23.0,267.0,21,1
1987,Watkins Glen International,road course,40,1,75.15,8.0,90.0,15,1
2003,Talladega Superspeedway,superspeedway,86,2,151.51162790697674,3.0,188.0,40,2
2006,Sonoma Raceway,road course,43,1,99.27906976744185,0.0,110.0,31,1
2003,Michigan International Speedway,intermediate,86,2,179.1046511627907,1.0,200.0,41,2
1962,Augusta International Speedway,short,54,3,149.0,2.0,200.0,5,2
1973,Charlotte Motor Speedway,intermediate,81,2,235.97530864197532,0.0,400.0,4,2
1961,Atlanta Motor Speedway,intermediate,130,3,165.7923076923077,0.0,334.0,7,3
1951,Wilson Speedway,short,17,1,200.0,200.0,200.0,1,1
1968,Bowman Gray Stadium,short,20,1,168.15,12.0,250.0,2,1
2025,Iowa Speedway,intermediate,37,1,349.2432432432432,340.0,350.0,30,1
2007,Kansas Speedway,intermediate,43,1,201.41860465116278,108.0,210.0,27,1
1952,Langhorne Speedway,intermediate,81,2,140.0,5.0,250.0,3,2
2004,Darlington Raceway,intermediate,86,2,280.09302325581393,10.0,367.0,35,1
1997,Rockingham Speedway,intermediate,86,2,366.8488372093023,68.0,393.0,21,2
1994,Rockingham Speedway,intermediate,84,2,425.6190476190476,25.0,492.0,11,2
2002,Talladega Superspeedway,superspeedway,86,2,179.6860465116279,46.0,188.0,43,1
1977,Atlanta Motor Speedway,intermediate,82,2,240.3780487804878,0.0,328.0,8,2
1962,Southside Speedway,short,41,2,200.53658536585365,34.0,300.0,3,2
2021,Michigan International Speedway,intermediate,37,1,190.45945945945945,29.0,200.0,26,1
1956,Norfolk Speedway,short,14,1,172.21428571428572,7.0,250.0,1,1
1961,Asheville-Weaverville Speedway,short,53,2,183.83018867924528,3.0,258.0,4,2
1966,Islip Speedway,short,29,1,179.48275862068965,16.0,300.0,1,1
1979,Daytona International Speedway,intermediate,82,2,127.54878048780488,1.0,200.0,6,2
2023,Michigan International Speedway,intermediate,37,1,179.9189189189189,14.0,200.0,21,1
2009,Charlotte Motor Speedway,intermediate,86,2,270.59302325581393,26.0,334.0,47,2
1999,Phoenix Raceway,intermediate,43,1,304.16279069767444,202.0,312.0,11,1
1978,North Wilkesboro Speedway,intermediate,56,2,323.10714285714283,34.0,400.0,4,2
1993,Daytona International Speedway,intermediate,82,2,155.21951219512195,2.0,200.0,37,2
2010,Texas Motor Speedway,intermediate,86,2,290.5,12.0,334.0,35,1
1951,Grand River Speedrome,short,21,1,200.0,200.0,200.0,1,1
1967,Columbia Speedway,short,43,2,135.88372093023256,3.0,200.0,2,1
1996,Rockingham Speedway,intermediate,83,2,339.9277108433735,4.0,393.0,17,2
2004,Auto Club Speedway,intermediate,86,2,218.93023255813952,2.0,250.0,41,2
1977,Talladega Superspeedway,superspeedway,81,2,124.18518518518519,0.0,188.0,8,2
1964,Dog Track Speedway,short,18,1,175.27777777777777,0.0,300.0,1,1
1949,Martinsville Speedway,short,15,1,151.86666666666667,16.0,200.0,1,1
2007,Texas Motor Speedway,intermediate,86,2,298.2093023255814,1.0,334.0,30,2
2001,New Hampshire Motor Speedway,intermediate,85,2,279.1764705882353,11.0,300.0,31,2
2002,New Hampshire Motor Speedway,intermediate,86,2,227.93023255813952,4.0,300.0,52,2
1999,Pocono Raceway,intermediate,86,2,180.84883720930233,7.0,200.0,35,1
1957,Kitsap County Airport,intermediate,14,1,71.57142857142857,29.0,80.0,3,1
1966,Columbia Speedway,short,50,2,159.74,13.0,200.0,5,1
1986,Riverside International Raceway,road course,84,2,82.5952380952381,5.0,119.0,17,2
2012,Daytona International Speedway,intermediate,86,2,155.91860465116278,1.0,202.0,44,2
1977,Richmond Raceway,speedway,58,2,279.9655172413793,46.0,400.0,8,2
1993,Martinsville Speedway,short,68,2,444.86764705882354,18.0,500.0,8,2
1956,Cleveland County Fairgrounds,short,43,2,140.8372093023256,0.0,201.0,5,2
1953,Langhorne Speedway,intermediate,113,3,193.53333333333333,150.0,250.0,4,2
2009,Chicagoland Speedway,intermediate,43,1,234.37209302325581,10.0,267.0,19,1
1964,Asheville-Weaverville Speedway,short,62,2,220.58064516129033,0.0,500.0,3,2
1985,Bristol Motor Speedway,short,61,2,383.59016393442624,36.0,500.0,6,1
1966,Daytona International Speedway,intermediate,155,4,78.69677419354839,1.0,198.0,22,4
1974,Talladega Superspeedway,superspeedway,98,2,132.8265306122449,1.0,188.0,6,2
2017,New Hampshire Motor Speedway,intermediate,78,2,283.5769230769231,40.0,301.0,44,2
2018,Homestead-Miami Speedway,intermediate,39,1,263.6923076923077,240.0,267.0,18,1
1978,Nashville Speedway,intermediate,60,2,329.9,0.0,420.0,2,1
1966,Piedmont Interstate Fairgrounds,short,22,1,116.0909090909091,7.0,200.0,1,1
1958,Greensboro Agriculture Fairgrounds,short,20,1,124.5,50.0,150.0,1,1
1953,Piedmont Interstate Fairgrounds,short,19,1,40.0,0.0,200.0,1,1
1964,Bristol Motor Speedway,short,72,2,286.0416666666667,1.0,500.0,3,1
1963,Darlington Raceway,intermediate,72,2,173.79166666666666,1.0,364.0,4,2
1981,Pocono Raceway,intermediate,35,1,171.71428571428572,62.0,200.0,5,1
2021,Nashville Superspeedway,intermediate,39,1,260.15384615384613,0.0,300.0,20,1
2000,Homestead-Miami Speedway,intermediate,43,1,223.74418604651163,23.0,267.0,6,1
1970,Trenton Speedway,intermediate,37,1,125.13513513513513,1.0,200.0,3,1
2023,Texas Motor Speedway,intermediate,36,1,241.58333333333334,40.0,267.0,25,1
1998,Texas Motor Speedway,intermediate,43,1,267.9767441860465,1.0,334.0,12,1
1955,Richmond Raceway,short,28,1,134.82142857142858,3.0,200.0,3,1
2019,Las Vegas Motor Speedway,intermediate,77,2,259.54545454545456,10.0,267.0,35,2
1964,Occoneechee Speedway,intermediate,56,2,96.39285714285714,0.0,167.0,2,2
1994,North Wilkesboro Speedway,intermediate,72,2,377.25,53.0,400.0,7,2
2012,Phoenix Raceway,intermediate,86,2,259.72093023255815,8.0,319.0,33,2
1994,Bristol Motor Speedway,short,73,2,390.8767123287671,10.0,500.0,11,2
2009,New Hampshire Motor Speedway,intermediate,86,2,245.7325581395349,8.0,300.0,48,2
1977,Martinsville Speedway,short,60,2,331.2,4.0,500.0,5,1
2018,Darlington Raceway,intermediate,40,1,346.25,120.0,367.0,16,1
2002,Homestead-Miami Speedway,intermediate,43,1,255.1627906976744,19.0,267.0,21,1
2017,Richmond Raceway,intermediate,77,2,386.5584415584416,4.0,404.0,47,2
1962,Valdosta 75 Speedway,short,13,1,161.6153846153846,45.0,200.0,1,1
2021,Bristol Motor Speedway Dirt Track,short,39,1,214.76923076923077,39.0,253.0,19,1
1975,Martinsville Speedway,short,60,2,341.21666666666664,1.0,500.0,4,2
1971,Martinsville Speedway,short,60,2,355.7,0.0,500.0,3,2
1958,Columbia Speedway,short,77,3,136.5974025974026,0.0,200.0,5,2
1974,Bristol Motor Speedway,short,60,2,292.3333333333333,9.0,500.0,3,1
1952,Darlington Raceway,intermediate,90,2,211.46666666666667,10.0,400.0,3,2
2001,Martinsville Speedway,short,86,2,454.90697674418607,12.0,500.0,35,2
2001,Phoenix Raceway,intermediate,43,1,298.86046511627904,65.0,312.0,28,1
1954,North Wilkesboro Speedway,intermediate,56,2,114.80357142857143,12.0,160.0,6,2
1962,New Asheville Speedway,short,19,1,192.42105263157896,4.0,250.0,1,1
2021,Pocono Raceway,intermediate,76,2,131.35526315789474,13.0,140.0,53,2
1971,Michigan International Speedway,intermediate,80,2,141.6125,0.0,197.0,6,1
2007,Dover International Speedway,intermediate,86,2,372.4767441860465,4.0,400.0,19,2
1956,Chisholm Speedway,short,22,1,158.77272727272728,0.0,200.0,2,1
2011,Kansas Speedway,intermediate,86,2,227.0581395348837,12.0,272.0,34,2
1999,Dover International Speedway,intermediate,86,2,363.54651162790697,6.0,400.0,8,2
1995,Bristol Motor Speedway,short,72,2,447.7638888888889,138.0,500.0,15,2
1991,Talladega Superspeedway,superspeedway,82,2,151.3780487804878,2.0,188.0,24,2
2018,Kansas Speedway,intermediate,78,2,249.80769230769232,3.0,267.0,28,2
1971,Nashville Speedway,intermediate,29,1,238.27586206896552,5.0,420.0,1,1
1968,New Asheville Speedway,short,23,1,194.52173913043478,1.0,300.0,1,1
2016,Daytona International Speedway,intermediate,80,2,165.7875,89.0,200.0,54,2
1970,Greenville-Pickens Speedway,short,29,1,134.44827586206895,3.0,200.0,2,1
1996,Darlington Raceway,intermediate,83,2,285.0722891566265,10.0,367.0,10,1
1981,Daytona International Speedway,intermediate,84,2,139.64285714285714,8.0,200.0,12,2
1967,Islip Speedway,short,29,1,172.3448275862069,2.0,300.0,1,1
1967,Bowman Gray Stadium,short,37,2,146.94594594594594,2.0,250.0,2,2
1973,Texas World Speedway,intermediate,38,1,158.6578947368421,1.0,250.0,1,1
1952,Stamford Park,short,17,1,122.3529411764706,26.0,200.0,1,1
2004,Homestead-Miami Speedway,intermediate,43,1,241.8372093023256,0.0,271.0,23,1
1971,Bowman Gray Stadium,short,29,1,135.17241379310346,1.0,250.0,2,1
1980,Riverside International Raceway,road course,73,2,82.0,0.0,119.0,10,1
2023,Richmond Raceway,intermediate,73,2,397.43835616438355,303.0,400.0,43,2
1985,Rockingham Speedway,intermediate,80,2,378.8625,9.0,492.0,11,2
1977,Nashville Speedway,intermediate,60,2,303.1166666666667,12.0,420.0,3,2
2022,Las Vegas Motor Speedway,intermediate,73,2,251.16438356164383,92.0,274.0,48,2
1988,Daytona International Speedway,intermediate,84,2,147.88095238095238,1.0,200.0,25,2
1989,Talladega Superspeedway,superspeedway,82,2,155.5121951219512,5.0,188.0,30,2
1995,Indianapolis Motor Speedway,intermediate,41,1,152.2439024390244,17.0,160.0,19,1
1966,Richmond Raceway,short,59,2,152.84745762711864,1.0,300.0,2,1
1960,Southern States Fairgrounds,short,49,2,134.24489795918367,8.0,200.0,3,2
2005,Kansas Speedway,intermediate,43,1,254.7906976744186,63.0,267.0,25,1
1965,Atlanta Motor Speedway,intermediate,87,2,176.44827586206895,0.0,334.0,5,1
2022,Pocono Raceway,intermediate,36,1,155.02777777777777,35.0,160.0,29,1
1983,Atlanta Motor Speedway,intermediate,80,2,248.55,2.0,328.0,11,2
1980,Ontario Motor Speedway,intermediate,42,1,141.3095238095238,2.0,200.0,5,1
1977,Bristol Motor Speedway,short,59,2,314.0508474576271,2.0,500.0,3,1
1956,North Wilkesboro Speedway,intermediate,29,1,114.93103448275862,13.0,160.0,4,1
2016,Auto Club Speedway,intermediate,39,1,196.53846153846155,46.0,205.0,31,1
2015,Watkins Glen International,road course,43,1,88.48837209302326,56.0,90.0,31,1
1960,Asheville-Weaverville Speedway,short,54,2,220.16666666666666,1.0,500.0,2,2
1963,Piedmont Interstate Fairgrounds,short,38,2,133.71052631578948,0.0,200.0,4,2
1953,Davenport Speedway,short,14,1,152.85714285714286,21.0,200.0,1,1
2006,Charlotte Motor Speedway,intermediate,86,2,308.0,0.0,400.0,28,1
1978,Rockingham Speedway,intermediate,72,2,332.52777777777777,0.0,492.0,4,2
2023,Watkins Glen International,road course,36,1,89.27777777777777,74.0,90.0,31,1
2021,Watkins Glen International,road course,37,1,88.13513513513513,41.0,90.0,24,1
2007,Martinsville Speedway,short,86,2,478.4418604651163,111.0,506.0,44,1
1954,Langhorne Speedway,intermediate,89,2,128.79775280898878,0.0,250.0,4,1
1961,Bowman Gray Stadium,short,63,3,136.0793650793651,3.0,200.0,7,1
2024,Kansas Speedway,intermediate,76,2,259.2894736842105,0.0,268.0,63,2
1952,Daytona Beach & Road Course,road course,61,1,37.0,37.0,37.0,3,1
2024,Pocono Raceway,intermediate,37,1,142.75675675675674,13.0,160.0,22,1
2004,Watkins Glen International,road course,43,1,76.6046511627907,2.0,90.0,24,1
2000,Richmond Raceway,intermediate,86,2,351.56976744186045,30.0,400.0,34,2
2005,Texas Motor Speedway,intermediate,86,2,309.0581395348837,31.0,334.0,46,2
1976,Michigan International Speedway,intermediate,72,2,143.51388888888889,1.0,200.0,8,1
2004,Indianapolis Motor Speedway,intermediate,43,1,135.32558139534885,3.0,161.0,27,1
2010,Homestead-Miami Speedway,intermediate,43,1,233.65116279069767,10.0,267.0,28,1
1963,Birmingham International Raceway,short,37,2,171.13513513513513,9.0,200.0,3,2
2019,Dover International Speedway,intermediate,75,2,375.74666666666667,8.0,400.0,19,2
1967,Savannah Speedway,short,36,2,145.02777777777777,17.0,200.0,3,2
1988,Watkins Glen International,road course,40,1,77.8,2.0,90.0,22,1
1961,California State Fairgrounds,short,32,1,67.9375,2.0,100.0,1,1
1957,Martinsville Speedway,short,64,2,391.59375,86.0,500.0,6,2
1986,Martinsville Speedway,short,61,2,414.327868852459,34.0,500.0,4,2
1978,Dover International Speedway,intermediate,77,2,343.5064935064935,0.0,500.0,4,2
2025,Michigan International Speedway,intermediate,36,1,187.30555555555554,66.0,200.0,28,1
1963,Riverside International Raceway,road course,85,2,114.56470588235294,1.0,185.0,3,2
1968,Fonda Speedway,short,25,1,132.52,17.0,200.0,3,1
1983,Daytona International Speedway,intermediate,82,2,137.390243902439,5.0,200.0,9,2
1967,Richmond Raceway,short,54,2,162.55555555555554,8.0,300.0,4,1
1957,Memphis-Arkansas Speedway,short,28,1,104.75,33.0,134.0,3,1
1958,Lakewood Speedway,intermediate,65,2,88.95384615384616,1.0,150.0,7,2
1976,Richmond Raceway,speedway,60,2,328.8333333333333,84.0,400.0,4,2
2018,Daytona International Speedway,intermediate,80,2,151.95,8.0,207.0,23,2
1994,Pocono Raceway,intermediate,84,2,173.60714285714286,11.0,200.0,18,2
1979,Texas World Speedway,intermediate,34,1,160.08823529411765,5.0,200.0,1,1
2025,Nashville Superspeedway,intermediate,39,1,282.43589743589746,110.0,300.0,25,1
1954,Asheville-Weaverville Speedway,short,21,1,153.57142857142858,52.0,200.0,1,1
2013,Atlanta Motor Speedway,intermediate,43,1,292.74418604651163,22.0,325.0,17,1
1949,Hamburg Speedway,short,16,1,178.0,134.0,200.0,2,1
1964,Birmingham International Raceway,short,20,1,156.5,18.0,200.0,1,1
1964,Bowman Gray Stadium,short,40,2,172.45,32.0,250.0,3,2
1961,Hickory Speedway,short,43,2,194.1860465116279,9.0,250.0,3,2
1965,Charlotte Motor Speedway,intermediate,88,2,181.86363636363637,1.0,400.0,5,1
1988,Rockingham Speedway,intermediate,81,2,402.44444444444446,4.0,492.0,8,2
2022,Dover International Speedway,intermediate,36,1,376.3333333333333,91.0,400.0,15,1
1965,Richmond Raceway,short,59,2,178.45762711864407,1.0,300.0,3,2
1958,Canadian National Exposition Speedway,short,19,1,84.3157894736842,18.0,100.0,4,1
2005,Watkins Glen International,road course,43,1,87.76744186046511,31.0,92.0,34,1
2010,Daytona International Speedway,intermediate,86,2,166.03488372093022,4.0,208.0,44,2
2012,Homestead-Miami Speedway,intermediate,43,1,236.95348837209303,16.0,267.0,14,1
1951,Michigan State Fairgrounds,intermediate,59,1,155.83050847457628,13.0,250.0,2,1
1953,Monroe County Fairgrounds,short,18,1,199.75,199.0,200.0,3,1
1955,Greenville-Pickens Speedway,short,28,1,157.17857142857142,0.0,200.0,1,1
1954,Oglethorpe Speedway,short,21,1,140.0952380952381,9.0,200.0,1,1
2014,Dover International Speedway,intermediate,86,2,372.01162790697674,11.0,400.0,28,2
1963,New Asheville Speedway,short,20,1,198.9,1.0,300.0,2,1
2013,Phoenix Raceway,intermediate,86,2,282.3720930232558,19.0,316.0,44,2
1979,Ontario Motor Speedway,intermediate,37,1,162.1081081081081,26.0,200.0,7,1
2015,Las Vegas Motor Speedway,intermediate,43,1,257.3488372093023,28.0,267.0,14,1
1965,Dog Track Speedway,short,43,2,211.95348837209303,1.0,300.0,4,2
2005,Talladega Superspeedway,superspeedway,86,2,163.06976744186048,19.0,194.0,33,2
1957,Wilson Speedway,short,21,1,152.0,40.0,200.0,1,1
1992,Talladega Superspeedway,superspeedway,80,2,166.9875,5.0,188.0,22,2
1955,North Wilkesboro Speedway,intermediate,50,2,113.08,5.0,160.0,4,1
2008,Daytona International Speedway,intermediate,86,2,174.30232558139534,69.0,200.0,62,2
1976,Daytona International Speedway,intermediate,82,2,119.47560975609755,0.0,200.0,4,2
1954,Columbia Speedway,short,18,1,168.0,23.0,200.0,1,1
1959,Asheville-Weaverville Speedway,short,90,3,238.06666666666666,1.0,500.0,5,3
1997,Daytona International Speedway,intermediate,84,2,163.5595238095238,32.0,200.0,47,2
1969,Langley Field Speedway,short,24,1,234.375,16.0,375.0,1,1
1953,Columbia Speedway,short,16,1,200.0,200.0,200.0,1,1
1995,New Hampshire Motor Speedway,intermediate,41,1,275.0,34.0,300.0,14,1
1955,Charlotte Speedway,intermediate,26,1,83.5,3.0,133.0,2,1
1953,Darlington Raceway,intermediate,59,1,245.52542372881356,8.0,364.0,1,1
1962,Charlotte Motor Speedway,intermediate,92,2,228.84782608695653,2.0,400.0,3,2
1988,Talladega Superspeedway,superspeedway,83,2,164.12048192771084,13.0,188.0,34,2
2017,Darlington Raceway,intermediate,40,1,331.8,18.0,367.0,8,1
1951,Morristown Speedway,short,44,1,147.0,94.0,200.0,1,1
2025,Kansas Speedway,intermediate,75,2,256.06666666666666,6.0,273.0,44,2
2011,Dover International Speedway,intermediate,86,2,339.3837209302326,12.0,400.0,38,2
1965,Langley Field Speedway,short,21,1,151.71428571428572,0.0,250.0,1,1
2009,Michigan International Speedway,intermediate,86,2,176.46511627906978,17.0,200.0,54,2
2022,Auto Club Speedway,intermediate,36,1,191.13888888888889,94.0,200.0,23,1
1986,Talladega Superspeedway,superspeedway,82,2,147.59756097560975,4.0,188.0,20,2
2004,Talladega Superspeedway,superspeedway,86,2,168.02325581395348,7.0,188.0,53,2
1964,Rambi Race Track,short,12,1,151.0,1.0,200.0,1,1
2001,Atlanta Motor Speedway,intermediate,86,2,304.1046511627907,15.0,325.0,28,2
2008,New Hampshire Motor Speedway,intermediate,86,2,283.72093023255815,202.0,300.0,47,2
1960,Heidelberg Raceway,short,17,1,150.94117647058823,17.0,188.0,1,1
2013,Chicagoland Speedway,intermediate,43,1,236.65116279069767,29.0,267.0,23,1
1959,California State Fairgrounds,short,16,1,156.125,11.0,200.0,2,1
1955,Tucson Rodeo Grounds,short,19,1,146.10526315789474,30.0,200.0,1,1
2004,Sonoma Raceway,road course,43,1,100.74418604651163,5.0,110.0,27,1
1966,Hickory Speedway,short,47,2,178.51063829787233,3.0,250.0,3,1
1968,Richmond Raceway,short,20,1,188.5,30.0,250.0,1,1
1981,Dover International Speedway,intermediate,66,2,359.8333333333333,1.0,500.0,3,2
1964,Bridgehampton Race Circuit,road course,24,1,25.708333333333332,1.0,50.0,2,1
1969,Charlotte Motor Speedway,intermediate,89,2,235.1123595505618,2.0,400.0,5,2
2011,Talladega Superspeedway,superspeedway,86,2,164.95348837209303,1.0,188.0,55,2
1956,Greenville-Pickens Speedway,short,23,1,143.7391304347826,16.0,200.0,1,1
2016,Kentucky Speedway,intermediate,40,1,228.8,9.0,267.0,16,1
1978,Ontario Motor Speedway,intermediate,40,1,154.975,2.0,200.0,3,1
2025,Watkins Glen International,road course,39,1,89.53846153846153,75.0,90.0,35,1
2003,Kansas Speedway,intermediate,43,1,248.13953488372093,80.0,267.0,24,1
2019,Martinsville Speedway,short,74,2,479.3378378378378,55.0,500.0,39,2
1975,Atlanta Motor Speedway,intermediate,72,2,233.34722222222223,6.0,328.0,5,2
2015,Charlotte Motor Speedway,intermediate,86,2,350.40697674418607,58.0,400.0,32,2
1981,Martinsville Speedway,short,61,2,349.9836065573771,3.0,500.0,4,2
2000,Pocono Raceway,intermediate,86,2,180.03488372093022,25.0,200.0,44,2
1999,Rockingham Speedway,intermediate,86,2,373.8139534883721,120.0,393.0,18,2
2001,Talladega Superspeedway,superspeedway,86,2,179.06976744186048,18.0,188.0,50,2
1958,Nashville Speedway,short,32,1,157.21875,0.0,200.0,3,1
2001,Auto Club Speedway,intermediate,43,1,245.48837209302326,152.0,250.0,26,1
2024,Watkins Glen International,road course,38,1,84.6842105263158,0.0,92.0,31,1
1956,Tennessee-Carolina Speedway,short,22,1,169.13636363636363,64.0,200.0,2,1
2021,Circuit of the Americas,road course,40,1,48.15,12.0,54.0,31,1
1962,Piedmont Interstate Fairgrounds,short,31,2,156.67741935483872,18.0,200.0,5,2
1981,Richmond Raceway,speedway,62,2,321.1290322580645,0.0,400.0,7,2
1978,Daytona International Speedway,intermediate,81,2,130.23456790123456,1.0,200.0,4,2
1965,Nashville Speedway,short,39,2,177.84615384615384,1.0,400.0,2,2
1982,Daytona International Speedway,intermediate,81,2,123.22222222222223,3.0,200.0,10,1
1972,Charlotte Motor Speedway,intermediate,84,2,244.92857142857142,8.0,400.0,4,2
1969,Martinsville Speedway,short,80,2,302.025,1.0,500.0,6,1
1985,Atlanta Motor Speedway,intermediate,83,2,251.21686746987953,39.0,328.0,7,1
1986,Michigan International Speedway,intermediate,82,2,160.9268292682927,4.0,200.0,14,1
1994,Richmond Raceway,intermediate,75,2,351.62666666666667,1.0,400.0,16,2
2021,Kansas Speedway,intermediate,79,2,258.37974683544303,47.0,267.0,37,2
2011,Michigan International Speedway,intermediate,86,2,172.46511627906978,11.0,203.0,52,2
1968,Montgomery Motor Speedway,short,30,1,133.33333333333334,26.0,200.0,2,1
2020,Bristol Motor Speedway,short,80,2,443.325,28.0,500.0,28,2
1969,Darlington Raceway,intermediate,76,2,175.80263157894737,1.0,291.0,4,1
1964,Jacksonville Speedway,short,25,1,131.44,15.0,200.0,1,1
2020,Darlington Raceway,intermediate,118,3,271.54237288135596,0.0,367.0,67,2
1959,Martinsville Speedway,short,87,2,361.5402298850575,2.0,500.0,3,2
2008,Chicagoland Speedway,intermediate,43,1,266.0,259.0,267.0,29,1
1988,Richmond Raceway,intermediate,36,1,316.19444444444446,11.0,400.0,5,1
2008,Sonoma Raceway,road course,43,1,107.95348837209302,20.0,112.0,31,1
1992,Bristol Motor Speedway,short,64,2,427.734375,16.0,500.0,7,2
1967,Middle Georgia Raceway,short,24,1,165.08333333333334,0.0,300.0,1,1
1954,Raleigh Speedway,intermediate,35,1,165.34285714285716,5.0,250.0,1,1
1960,Hickory Speedway,short,38,2,191.57894736842104,10.0,250.0,3,2
